Date,current_shared_signal,asset_specific_signal,buy_and_hold
2015-01-02,100370.13089389272,100356.92434365662,100321.85295121108
2015-01-05,99693.64205899918,99680.52452014227,99733.88473871331
2015-01-06,99722.8183704395,99709.6969926076,99759.26568554022
2015-01-07,100356.28320330054,100343.07847512263,100310.30599469066
2015-01-08,101189.01781314857,101175.70351500837,101034.09129988313
2015-01-09,101336.38947492906,101323.05578584818,101162.04436670308
2015-01-12,100854.63434542333,100841.3640449548,100743.84759319529
2015-01-13,100619.52548912814,100606.28612392783,100539.62968534559
2015-01-14,100423.64894419466,100410.43535213431,100369.43750155116
2015-01-15,100656.54822475743,100643.30398816148,100571.84928862707
2015-01-16,101801.40044976823,101788.00557524557,101566.53526448057
2015-01-20,102661.60773706551,102648.09967776714,102312.81588190814
2015-01-21,102836.60380198066,102823.07271696435,102464.46937531345
2015-01-22,103988.75334102969,103975.0706579171,103462.71307957298
2015-01-23,103542.471505964,103528.84754394126,103076.60502569776
2015-01-26,103488.62529274328,103475.00841572395,103029.99290041273
2015-01-27,102657.52195960315,102644.0144379052,102310.49714595314
2015-01-28,101654.85734867225,101641.48175606951,101441.56219767062
2015-01-29,101339.57469519721,101326.24058700986,101167.97861651736
2015-01-30,101755.80716491428,101742.41828948719,101529.30702730628
2015-02-02,102543.9894634525,102555.96336116863,102213.15734813051
2015-02-03,103051.54193121167,103063.57509501805,102653.08341660163
2015-02-04,102881.87117713687,102893.88452876054,102506.11410696006
2015-02-05,103339.39480162175,103351.46157754761,102902.50767546624
2015-02-06,102049.79448813584,102061.71067949475,101785.85699664982
2015-02-09,101952.23755907996,101964.14235887222,101701.24429079662
2015-02-10,102101.9143373852,102113.83661469558,101831.07758937823
2015-02-11,101861.14583713592,101873.04000029343,101622.26903731552
2015-02-12,102793.46271875284,102805.46574706215,102431.07815463473
2015-02-13,103235.8767724824,103247.93146077349,102814.4297914421
2015-02-17,102460.09344967098,102472.05755098368,102142.5895403656
2015-02-18,102185.74541033666,102197.67747646739,101904.76528984458
2015-02-19,101643.50687652492,101655.37562632891,101434.55003711337
2015-02-20,102001.02459545554,102012.93509203203,101744.7958985254
2015-02-23,102083.43752992942,102095.35764973251,101816.27929980108
2015-02-24,102549.20512125589,102561.17962799601,102220.23464826946
2015-02-25,102709.91225914075,102721.90553139645,102359.5316925714
2015-02-26,102304.1367693245,102316.08265982496,102007.88713324607
2015-02-27,102307.15022693061,102319.0964693077,102010.49994308485
2015-03-02,102000.03317755954,102024.62783219086,101744.21600277122
2015-03-03,101554.77040266436,101579.25769376032,101358.0020453011
2015-03-04,101183.47120630326,101207.86896825678,101035.75875637162
2015-03-05,101080.58193114797,101104.95488402928,100946.42043246595
2015-03-06,99044.46893852513,99068.35093572452,99178.23737559842
2015-03-09,99312.28999724233,99336.23657252309,99411.439788706
2015-03-10,98464.59932656717,98488.34150329402,98673.58155016493
2015-03-11,98245.20176235006,98268.89103706158,98482.39614517191
2015-03-12,98712.5222826337,98736.32423953208,98889.7429077244
2015-03-13,98343.3581169079,98367.07105947094,98568.1542696734
2015-03-16,99381.112127584,99405.07529753119,99472.61178223515
2015-03-17,99231.79942454287,99255.72659161586,99342.65510880681
2015-03-18,101158.45266405462,101182.84439343748,101019.87735091438
2015-03-19,100502.97885432788,100527.21253325265,100450.68092756325
2015-03-20,101277.648652627,101302.06912302182,101123.95630983004
2015-03-23,101551.7703446202,101576.25691233021,101361.96126880629
2015-03-24,101370.67223690212,101395.11513751441,101204.77899086606
2015-03-25,100424.89997125084,100449.11482348404,100383.71420128018
2015-03-26,99934.98157221968,99959.07829337541,99957.87291772556
2015-03-27,100080.01426756136,100104.14595957877,100084.01719327092
2015-03-30,100813.1490260471,100837.45749444018,100721.55117749925
2015-03-31,100225.84645863107,100250.01331428776,100211.31730793003
2015-04-01,100574.0654321192,100598.31625172298,100514.0725203077
2015-04-02,100319.75392370435,100343.94342270339,100293.06398954088
2015-04-06,101044.43094758787,101068.7951835999,100923.05027175514
2015-04-07,101192.04478161424,101216.4446108624,101051.25593381574
2015-04-08,100875.54094109205,100899.86445367242,100776.41811849774
2015-04-09,100825.24934079933,100849.56072686854,100732.72926413956
2015-04-10,101593.13146155077,101617.62800241816,101399.8401255139
2015-04-13,101234.00828376759,101258.41823142268,101088.15324798155
2015-04-14,101586.86591023188,101611.36094032456,101394.54389092555
2015-04-15,102411.30336773877,102435.9971894779,102110.0888045365
2015-04-16,102079.37189089929,102103.98567599745,101822.3016809898
2015-04-17,101614.46490090096,101638.9665857723,101419.05281338266
2015-04-20,101877.70786365832,101902.2730227223,101647.5195326733
2015-04-21,101881.9945699716,101906.56076266328,101651.23868109364
2015-04-22,101608.97675433948,101633.47711588706,101414.36959537258
2015-04-23,102048.40534773353,102073.01166605536,101795.74957392192
2015-04-24,102085.37624521164,102109.99147810365,101827.81858553995
2015-04-27,102412.61369075238,102437.30782844183,102111.6549659478
2015-04-28,102533.75183142278,102558.47517842363,102216.68292548094
2015-04-29,101852.38195591803,101876.94100829816,101626.01957740689
2015-04-30,100743.14509763337,100767.43668640018,100663.60946539404
2015-05-01,101300.99969077167,101325.4257916619,101148.31744184786
2015-05-04,101464.3129640478,101488.77844368554,101290.11494209337
2015-05-05,100718.96253610631,100743.24829387746,100643.09687227954
2015-05-06,99945.51976556511,99969.61902773204,99971.04454041441
2015-05-07,100141.25472580253,100165.40118436338,100141.29232161351
2015-05-08,101271.35953323539,101295.77848717265,101123.99252309665
2015-05-11,100023.10305272852,100047.22102208693,100040.13160523177
2015-05-12,100170.00508302473,100194.15847398633,100167.89424854274
2015-05-13,100327.57863240644,100351.77001813044,100304.91183889913
2015-05-14,101201.92960897602,101226.33182169315,101065.04526180241
2015-05-15,101865.08584736669,101889.64796295976,101640.92288121454
2015-05-18,101511.3135810138,101535.79039362767,101333.97178576808
2015-05-19,100984.9798830359,101009.32978397024,100877.08988570518
2015-05-20,101098.07770231242,101122.45487384382,100975.33074501307
2015-05-21,101554.73223748492,101579.21951937833,101371.93952224962
2015-05-22,101282.42486231281,101306.84648436634,101135.57670707021
2015-05-26,100507.13853564314,100531.37321756684,100462.39214319235
2015-05-27,101082.93472542759,101107.30824562402,100962.86157084545
2015-05-28,100974.02233289367,100998.36959169983,100868.26764126355
2015-05-29,100783.36013767128,100807.66142324884,100702.64807080862
2015-06-01,100620.01903177204,100644.28093189097,100560.72607546957
2015-06-02,100296.90459475234,100321.08858423009,100279.92256811645
2015-06-03,99839.60087132039,99863.67459390128,99882.33448647844
2015-06-04,99410.89770174868,99434.86805371226,99509.3895610365
2015-06-05,98933.70697993721,98957.56226977159,99094.02999496809
