Date,current_pure_regime,regime_plus_trend,buy_and_hold
2015-01-02,100370.14128894874,100370.14128894874,100321.86199039021
2015-01-05,99689.82990203456,99778.56616989293,99730.57142639656
2015-01-06,99717.99079885769,99803.07570337233,99755.06917048254
2015-01-07,100349.67638304074,100352.83620185753,100304.56522726326
2015-01-08,101178.75437522294,101181.94030011536,101025.17852184885
2015-01-09,101325.36556107302,101328.55610247045,101152.47299978428
2015-01-12,100842.92058364043,100909.02552099264,100733.67145510812
2015-01-13,100607.7555579219,100704.40014534355,100529.40166600264
2015-01-14,100411.4784128268,100533.56041452842,100358.85881092542
2015-01-15,100643.36365611349,100735.44491309536,100560.3924858918
2015-01-16,101786.09907705587,101730.03703448224,101553.25626066666
2015-01-20,102646.13556535247,102477.48294309757,102299.4032995483
2015-01-21,102820.81051180884,102629.12463611855,102450.78147810869
2015-01-22,103970.178862838,103776.35025283389,103446.63541910355
2015-01-23,103523.6204040417,103330.62430011097,103060.27906539028
2015-01-26,103469.71656358097,103276.8209510275,103013.6159500053
2015-01-27,102636.66408312546,102553.7779556284,102292.41565784387
2015-01-28,101632.26635238393,101681.09394618115,101421.9557175874
2015-01-29,101316.08221878504,101406.0191294861,101147.5819397774
2015-01-30,101730.33668130882,101766.56016477842,101507.20412219752
2015-02-02,102516.54570396495,102450.46361773863,102189.36462056852
2015-02-03,103021.50477167351,102955.09718922194,102627.0580928902
2015-02-04,102851.72362974928,102785.42548809072,102479.98758221125
2015-02-05,103307.91193202844,103241.31973174238,102875.2393257373
2015-02-06,102018.61046935861,101952.84935180015,101758.80312562153
2015-02-09,101920.84996764846,101855.15186643394,101674.01048357986
2015-02-10,102069.16867741807,102003.37497007773,101802.6709187996
2015-02-11,101828.46717394133,101762.82862260433,101593.91175074148
2015-02-12,102759.40247229338,102693.16384078166,102401.55605323538
2015-02-13,103201.4736027785,103134.95001255731,102784.62707459177
2015-02-17,102425.92711396288,102359.90344040973,102112.96278068719
2015-02-18,102151.67068504698,102085.82379697621,101875.2076213175
2015-02-19,101609.62750258892,101544.13001513516,101405.14136223505
2015-02-20,101966.5713261217,101900.84375295484,101714.90265393256
2015-02-23,102048.9749946199,101983.19430411194,101786.38116174252
2015-02-24,102514.50019748029,102448.4194297859,102190.1440373724
2015-02-25,102675.13857525503,102608.95426018634,102329.38761781274
2015-02-26,102269.46832404824,102203.54550371034,101977.81875994167
2015-02-27,102272.34659260859,102206.421916941,101980.31446462392
2015-03-02,101964.86645864253,101899.13998443195,101713.70390448552
2015-03-03,101519.58152705926,101454.14208317186,101327.45338798969
2015-03-04,101148.19670453656,101082.99665501907,101005.12124171268
2015-03-05,101045.3038218689,100980.17009702417,100915.77572925751
2015-03-06,99007.6145657242,98943.79433380104,99146.14339860789
2015-03-09,99275.12263227983,99211.12996486346,99379.08457839882
2015-03-10,98424.71152439508,98472.11871830602,98638.82225901964
2015-03-11,98205.35359707547,98281.28081992206,98447.66129098127
2015-03-12,98670.64235820054,98746.9293178859,98853.25850379524
2015-03-13,98301.23790708769,98425.45970463564,98531.44273697335
2015-03-16,99336.51578478275,99462.04584743158,99433.79258299842
2015-03-17,99187.20717750359,99312.54856110849,99303.8318699461
2015-03-18,101111.33767767475,101239.11055608619,100978.9561308793
2015-03-19,100455.92133727839,100582.8659759069,100409.77506422854
2015-03-20,101229.35031183736,101357.27232104167,101082.01305183723
2015-03-23,101503.27391870528,101631.5420810564,101319.86080542917
2015-03-24,101321.89804376748,101449.93700415028,101162.42764487842
2015-03-25,100374.06448765454,100624.69237881259,100339.52176474333
2015-03-26,99884.32019003305,100197.76441434647,99913.80371512925
2015-03-27,100029.22971271031,100324.16811803775,100039.84919042798
2015-03-30,100760.28980498326,101057.38375722866,100675.62110725473
2015-03-31,100172.39970477657,100544.6676639909,100164.84189232472
2015-04-01,100520.29830080685,100848.3124310362,100467.33958602806
2015-04-02,100265.96139931124,100626.42821860783,100246.29358157395
2015-04-06,100989.71968490959,101352.78849239349,100875.52516046347
2015-04-07,101137.18374976343,101500.78270627972,101003.60978592435
2015-04-08,100820.73899620927,101183.20030010442,100728.80385684293
2015-04-09,100770.22747805201,101132.507187655,100684.9208495791
2015-04-10,101537.3587552103,101902.3963835287,101351.42681938651
2015-04-13,101178.20336903592,101541.9497954561,101039.68967815406
2015-04-14,101530.78836193895,101895.80236899316,101345.8655925038
2015-04-15,102354.54825104705,102722.52376271306,102060.87388531017
2015-04-16,102022.8232305883,102389.60615544481,101773.2449816088
2015-04-17,101556.59248622484,101982.73059580279,101368.81871645049
2015-04-20,101818.72010197936,102245.95811619089,101596.3343278172
2015-04-21,101822.96381922685,102250.21964035372,101600.01645685933
2015-04-22,101549.87439786777,101975.98431790723,101363.06734727292
2015-04-23,101988.93322503367,102416.88546465103,101744.15530576593
2015-04-24,102025.82936438959,102453.93642262276,101776.16190315803
2015-04-27,102352.68145551858,102782.16000652061,102059.68559985644
2015-04-28,102473.61615112492,102903.60215202565,102164.54517088494
2015-04-29,101792.46488918141,102219.59273480147,101574.02617994182
2015-04-30,100682.68215829539,101250.51495056934,100611.06859429218
2015-05-01,101238.86397257072,101809.83353341144,101094.36095372932
2015-05-04,101401.97444196914,101973.86391744962,101235.9936964344
2015-05-05,100655.53699902717,101223.2166973305,100587.98010511769
2015-05-06,99882.36472083426,100547.10118847426,99916.10762790777
2015-05-07,100077.80480993513,100743.84196919198,100086.11294437473
2015-05-08,101205.2313775234,101878.77177878056,101066.56525992394
2015-05-11,99957.51993628392,100622.75657642767,99983.0853536231
2015-05-12,100104.22805546317,100770.44106653276,100110.69025941593
2015-05-13,100261.6867576574,100928.94768686338,100247.61970889613
2015-05-14,101134.2106358644,101807.27838034104,101006.22967428685
2015-05-15,101796.90697860061,102474.38509549104,101581.75813448515
2015-05-18,101443.25156946635,102118.3760411654,101274.88165216273
2015-05-19,100917.27872369689,101588.90274431482,100818.27307387388
2015-05-20,101030.30662939514,101702.6828726,100916.46178589771
2015-05-21,101486.52375784301,102161.93621433026,101312.72530364004
2015-05-22,101214.34699712711,101887.9480645969,101076.45517272576
2015-05-26,100438.25385538569,101106.68987279842,100402.51098803326
2015-05-27,101012.60748037026,101684.86593231303,100901.77118829227
2015-05-28,100903.76425287465,101575.2983320738,100807.22875434482
2015-05-29,100712.79470033666,101383.05784020496,100641.32714536595
2015-06-01,100549.4885805519,101218.6648865881,100499.42259326592
2015-06-02,100226.601486329,100893.62891626419,100218.79100975145
2015-06-03,99769.56381798365,100433.54957378464,99821.3979208541
2015-06-04,99340.33212744363,100001.46126327405,99447.95905753759
2015-06-05,98863.43820710522,99584.0110531241,99032.81940974528
2015-06-08,98687.75024754043,99430.1254243215,98879.78552884614
2015-06-09,98445.21246702175,99217.63650035922,98668.47271857884
2015-06-10,99188.53771681871,99966.79405294817,99316.30837910305
2015-06-11,99638.79254805102,100420.58168830628,99708.33866718467
2015-06-12,98980.35453239037,99843.53449398401,99135.38423781263
2015-06-15,98825.45431431559,99707.6640074526,99000.47742629863
2015-06-16,99430.57955596806,100238.55719286714,99527.60519868812
2015-06-17,99474.3699419081,100276.94521782975,99565.72095274358
2015-06-18,100430.09928523302,101240.38553979043,100397.55314848282
2015-06-19,100396.75724083476,101206.7744863952,100368.56946211461
2015-06-22,99906.05864085811,100712.11685089512,99941.99482771877
2015-06-23,99624.47677742303,100428.26313952701,99697.05295957257
2015-06-24,99371.25820864279,100173.00156245402,99476.70249185585
2015-06-25,98943.03851180148,99797.632308117,99103.94241622814
2015-06-26,98537.17643014554,99441.66047692721,98750.44493293
2015-06-29,97943.24150975904,98920.45463592041,98232.86197570448
2015-06-30,97878.31263243494,98863.43142298257,98176.2351291483
2015-07-01,97630.18296801875,98645.49488168153,97959.81345721117
2015-07-02,97855.43265531803,98843.40113139531,98156.34406742537
2015-07-06,98051.62599904167,99015.72648085322,98327.47158933696
2015-07-07,98292.69319496247,99227.41127082857,98537.68496565573
2015-07-08,97533.6258103436,98561.07582338256,97875.98119286784
2015-07-09,97072.73348002233,98156.0779836717,97473.7984791389
2015-07-10,97534.90187563124,98562.44864092032,97877.34446799837
