date,regime,target_exposure,action,equity,position_value_before,position_value_target
2026-08-24,calm,1.2,"close 89.96% of SPY ($240,720.29 -> target $24,172.87)",100720.3,240720.291428,120864.36
2026-08-24,calm,1.2,,100720.3,240720.291428,120864.36
2026-08-25,calm,1.2,buy $6.44 notional SPY; buy $24187.69 notional QQQ; buy $24187.69 notional GLD; buy $24187.69 notional TLT; buy $24187.69 notional XOM,100782.06,24181.250434,120938.47200000001
2026-08-25,calm,1.2,"close 0.88% of GLD ($24,404.81 -> target $24,191.20); close 0.39% of TLT ($24,286.67 -> target $24,191.20); buy $23.08 notional SPY; buy $59.19 notional QQQ; buy $229.81 notional XOM",100796.65,120952.99414000001,120955.97999999998
2026-08-27,calm,1.2,,100319.85,120485.879254,120383.82
2026-08-28,calm,1.2,,100167.69,120333.749624,120201.228
2026-08-29,calm,1.2,buy $716.00 notional GLD,99344.69,119510.75069,119213.628
2026-09-01,calm,1.2,,99652.88,120534.927233,119583.456
2026-09-01,calm,1.2,"close 4.41% of XOM ($24,864.80 -> target $23,767.12)",99029.67,119911.728133,118835.60399999999
2026-09-02,moderate,1.0,"close 17.74% of SPY ($24,162.80 -> target $19,877.16); close 17.60% of QQQ ($24,122.36 -> target $19,877.16); close 15.16% of GLD ($23,428.47 -> target $19,877.16); close 16.33% of TLT ($23,757.55 -> target $19,877.16); close 16.16% of XOM ($23,709.04 -> target $19,877.16)",99385.78,119180.229394,99385.78
2026-09-03,calm,1.15,buy $2962.14 notional SPY; buy $2938.14 notional QQQ; buy $2750.29 notional GLD; buy $3103.19 notional TLT; buy $3385.22 notional XOM,100158.4,100043.175695,115182.15999999999
2026-09-04,calm,1.15,,99633.95,114658.108626,114579.04249999998
